feature,AAVS1_Con_1,AAVS1_Con_2,AAVS1_Con_3,CERS2_1,CERS2_2,CERS2_3,CERS2_4,CERS2_5,CERS2_6,FADS3_1,FADS3_2,FADS3_3,GNPAT_1,GNPAT_2,GNPAT_3
DAG 18:1;0_18:3;0,,0.001396442,,,,,,,,,,,,0.001603824,0.00166047
DAG 18:2;0_18:2;0,,0.000271797,,,,,,,,,,,,0.000173528,0.000644446
DAG 16:0;0_20:5;0,,,,,,,,,,,,,,,
DAG 16:1;0_20:4;0,,,,,,,,,,,,,,,
DAG 18:0;0_19:1;0,,,,,,,,,,,,,,,
DAG 18:1;0_19:0;0,,,,,,,,,,,,,,,
DAG 14:0;0_24:1;0,,,,,,,0.003829563,,0.002653676,,,,,,
DAG 16:0;0_22:1;0,,0.00375496,0.002448686,,,0.004219667,,,0.009088338,,,,,0.005505071,0.006124201
DAG 16:1;0_22:0;0,0.002731307,0.001421626,0.001079246,0.001431024,,0.000943446,0.003581974,0.002338248,0.002267463,0.004127915,,0.002337507,,0.001915808,0.002677827
DAG 18:0;0_20:1;0,0.025596213,0.014063319,0.008398948,0.020849172,0.021880706,0.010746918,0.031210134,0.022629349,0.024957471,0.032964437,0.034636137,0.025977693,0.074006917,0.011779076,0.015586839
DAG 16:1;0_22:1;0,,0.000973766,0.000771421,,,0.001145573,0.00171403,0.001662385,0.001515264,,,,,0.001841028,
DAG 18:0;0_20:2;0,0.008448384,0.00687189,0.005844498,0.005612792,0.006113888,0.006362336,0.010555981,0.012041139,0.013220551,0.01003301,0.010937081,0.008641904,0.006576122,0.005363188,0.00680226
DAG 18:1;0_20:1;0,0.011448094,0.011505025,0.009762629,0.008561901,0.010070301,0.011466234,0.022697983,0.022054002,0.021083492,0.01547559,0.016922835,0.012480435,0.018205016,0.01666404,0.018724924
DAG 18:0;0_20:3;0,,0.02222726,,,,,0.032112396,,,,,,,,
DAG 16:0;0_22:4;0,0.002414868,0.002381641,,,0.001655329,0.001417072,0.002495386,0.001800139,0.002030691,0.001987836,,0.002194249,0.002520621,0.00255796,
DAG 18:0;0_20:4;0,0.039465127,0.038406026,0.03604318,0.021729536,0.021384703,0.024563195,0.044151841,0.037570299,0.044150082,0.03354337,0.03999248,0.040710357,0.031050663,0.029012503,0.032905185
DAG 18:1;0_20:3;0,0.005897523,0.006350551,0.006578605,0.004236161,0.003788181,0.005091572,0.007910394,0.005588648,0.00606754,0.0041782,0.004532986,0.004830982,0.006856425,0.006427818,0.006691674
DAG 16:0;0_22:5;0,0.006120055,,,,,0.004224355,0.006568158,,,,,0.005781961,0.007910267,0.006584159,0.008749894
DAG 16:1;0_22:4;0,,,,,,,,,,,,,,,
DAG 18:0;0_20:5;0,0.00246922,0.004895486,0.003364733,,,0.001816575,0.003429217,,0.003468141,,,0.002054274,0.003485991,0.002812042,0.005131175
DAG 18:1;0_20:4;0,0.010953955,0.019053198,0.012343638,,,0.00826243,0.011575763,,0.014853464,,,0.008105646,0.009582059,0.008275738,0.012499043
DAG 16:0;0_22:6;0,,,0.010813167,,,,,,,,,,,0.013380739,0.010254251
DAG 16:1;0_22:5;0,,,,,,,,,,,,,,,
DAG 18:1;0_20:5;0,,,0.002020146,,,,,,,,,,,0.003121648,0.003484705
DAG 16:0;0_24:1;0,,0.005153904,,0.010822832,,0.009052395,,,0.011827929,0.008766464,,,0.019476544,,
DAG 16:1;0_24:0;0,0.013831466,0.003488546,,0.00564664,,0.00523429,0.018446715,0.010201186,0.006687549,0.004777936,0.018675739,,0.009992973,,0.008786742
DAG 18:0;0_22:1;0,,0.001518337,,0.001484831,,0.001415947,0.004621508,0.002710291,0.001884584,0.001505722,,,0.003049634,,0.002537712
DAG 18:1;0_22:0;0,,0.00178674,,,,0.00145648,0.00630635,0.00348044,0.002067218,0.001900166,0.006916842,,0.004148206,,0.003083904
DAG 16:1;0_24:1;0,,,,,,,,,,,,,,,
DAG 18:0;0_22:2;0,,,,,,,,,,,,,,,
DAG 18:1;0_22:1;0,,,,,,,,,,,,,,,
DAG 18:0;0_22:5;0,,0.011692763,0.005551093,,,,0.018502879,,,,,,,0.015436732,0.01577023
DAG 18:1;0_22:4;0,,,0.007034353,,,,,,,,,,,,
DAG 18:0;0_22:6;0,,0.011525319,0.010643423,,,,,,,,,,0.011898131,0.013084335,0.013310076
DAG 18:1;0_22:5;0,,0.003934352,0.003208238,,,,,,,,,,0.004465975,0.004220135,0.004859078
DAG 18:1;0_24:0;0,,,,,,,0.024695326,0.026741375,0.018469737,,,,,,
HexCer 34:0;2,0.004433298,0.004636387,0.003572611,,0.004041312,0.004191567,0.00667145,0.006702984,0.005868673,,,,,,
HexCer 34:1;2,0.097980574,0.093633493,0.096505771,0.219279305,0.20473951,0.201548845,0.204841891,0.214497892,0.2125528,0.099665148,0.106927429,0.103771098,0.079352964,0.079222468,0.081987946
HexCer 34:2;2,0.005219203,0.003604324,0.004042289,0.013716822,0.013613552,0.013091813,0.009165904,0.008005814,0.008206202,,,,,,
HexCer 38:1;2,,,,0.004933108,,0.003708758,0.005986186,0.006318871,0.006735493,,,,,,
HexCer 40:1;2,0.020511894,0.020446378,0.021384174,0.011894678,0.011171541,0.009810758,0.011442167,0.009624648,0.010557746,0.021119051,0.022392247,0.023207534,0.013184605,0.011994942,0.013566074
HexCer 40:2;2,0.003806192,0.004084755,,,,,,,,,,,,,
HexCer 42:1;2,0.088768764,0.092891116,0.091187056,0.022752557,0.020281892,0.019460455,0.021990644,0.018335031,0.021156491,0.086410697,0.099053949,0.094610116,0.064974797,0.066419959,0.068195548
HexCer 42:1;3,0.008768628,0.007275252,0.007508599,,,,0.004946074,0.005422339,0.004958995,0.00924173,0.011562048,0.009631968,0.008911535,0.009442232,0.011239825
HexCer 42:2;2,0.061061802,0.060952006,0.059923503,0.007050433,0.006256156,0.008138141,0.006119048,,0.005194869,0.044890517,0.054228276,0.048766269,0.041950274,0.041863143,0.042374529
HexCer 42:2;3,,,,,,,,,,,,,,,
HexCer 44:2;2,0.009274523,0.007345097,0.007958373,,,,,,,,,0.004108053,,,0.00520573
LPA 16:1;0,0.000685722,0.000610371,0.000568048,0.000444085,,0.000515365,0.000566873,0.000469452,0.000346517,,,,,0.000495095,
LPA 18:0;0,0.00056046,0.000571697,0.000533466,0.000630587,,0.000610914,0.000874313,0.000729696,0.000546236,,0.000883599,0.000763425,0.001321982,0.000747417,0.001198962
LPA 18:1;0,0.000917825,0.000894714,0.000883185,0.000906937,0.000736567,0.000947374,0.001018503,0.000925926,0.000836674,0.000598357,0.000938703,0.000931325,0.001533705,0.000908531,0.001263396
LPC 14:0;0,0.010834933,0.008649476,0.010586388,0.015327539,0.019383093,0.014291054,0.01332807,0.010594112,0.011177818,0.012265966,0.014933236,0.012163475,0.010594821,0.010741272,0.011166927
LPC 16:0;0,0.05035377,0.043694146,0.057913504,0.126113996,0.168225577,0.115852746,0.118680597,0.097271399,0.096256982,0.106848305,0.128584674,0.113915984,0.10066385,0.08835731,0.093349876
LPC 16:1;0,0.040119055,0.032230584,0.035174594,0.037409812,0.033728017,0.036285812,0.037080936,0.029917876,0.033043178,0.028214556,0.035411211,0.035189552,0.049989734,0.044034064,0.052439384
LPC 18:0;0,0.013058077,0.011156763,0.014061616,0.02108377,0.02891431,0.020966625,0.018198207,0.016822436,0.016059613,0.020972192,0.03180695,0.021279759,0.020365172,0.015290263,0.01996675
LPC 18:1;0,0.038248374,0.03194664,0.036440448,0.049108462,0.04932322,0.047559063,0.05627584,0.044268607,0.048757509,0.041948463,0.053032541,0.051053351,0.06569793,0.053228077,0.060917758
LPC 18:2;0,0.003482368,0.002847229,0.003472434,0.004472647,0.0035238,0.003260175,0.003450403,0.003510398,0.00326148,0.003349068,0.004879247,0.003927713,,0.004253803,0.004911422
LPC 20:1;0,,0.001177367,0.001708455,0.003454775,0.003330242,0.003138092,0.00392823,0.003490003,0.003163676,,,0.00283411,,0.003253645,0.003605546
LPC 20:3;0,0.003284664,0.002050458,0.003058409,0.003149833,0.003929839,0.0023515,0.002384494,0.002288352,,,0.003589151,0.001897526,,0.003305539,0.0054551
LPC 20:4;0,0.001863879,0.001934773,0.002197895,,,,,,0.002016634,,,0.002154567,,,0.004037133
LPC 22:3;0,0.001762109,0.001076025,0.0014424,0.003585116,0.00502807,,0.00242756,0.002911626,0.00217829,0.003643502,0.005548273,0.002275312,,,0.005708637
LPC 22:4;0,,,,0.003211915,0.003222305,0.001789898,,0.002388715,0.001671862,0.003249787,,,,0.002910305,0.0046275
LPC O-16:0;0,,,,0.005952936,0.006992572,0.005325362,0.004561199,0.004265668,0.003320636,0.005065096,0.006848975,0.005479342,,,
LPC O-16:1;0,0.002797689,0.002609585,0.003298552,0.004918233,0.004711191,0.004614776,0.0044761,0.004583262,0.003944995,0.003939594,0.005003725,0.004843405,,,0.002551627
