"path","from","to","score","cal_score","Type","Significant","rep_lipid"
"PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","PI_18:1;0_20:4;0","PE_18:1;0_20:4;0",3.41797867658333,4.22288399680927,"Active","yes","18:1;0_20:4;0"
"PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","PI_18:1;0_20:4;0","PS_18:1;0_20:4;0",3.41797867658333,4.22288399680927,"Active","yes","18:1;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> LPE_20:4;0","LPA_20:4;0","LPE_20:4;0",3.40123910766441,4.21542174989759,"Active","yes","18:1;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> LPC_20:4;0","LPA_20:4;0","LPC_20:4;0",2.03227064368503,4.21210499799106,"Active","yes","18:1;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0","G3P","PE_18:0;0_20:4;0",1.63796325241548,4.19808310031372,"Active","yes","18:0;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0","G3P","PS_18:0;0_20:4;0",1.63796325241548,4.19808310031372,"Active","yes","18:0;0_20:4;0"
"PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> LPE_20:4;0","PS_18:1;0_20:4;0","LPE_20:4;0",4.79073687580321,4.19696680177986,"Active","yes","18:1;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> LPE_20:4;0","LPA_20:4;0","LPE_20:4;0",2.72442047449703,4.18907056711584,"Active","yes","18:1;0_20:4;0"
"LPA_18:1;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","LPA_18:1;0","PE_18:1;0_20:4;0",2.72204373334985,4.1880054036317,"Active","yes","18:1;0_20:4;0"
"LPA_18:1;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","LPA_18:1;0","PS_18:1;0_20:4;0",2.72204373334985,4.1880054036317,"Active","yes","18:1;0_20:4;0"
"PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> LPC_20:4;0","PA_18:0;0_20:4;0","LPC_20:4;0",3.31160634251383,4.17546481742398,"Active","yes","18:0;0_20:4;0"
"PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","PC_18:0;0_20:4;0","LPE_20:4;0",3.83614085930232,4.16851057285839,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0","LPA_20:4;0","PS_18:0;0_20:4;0",2.675426594716,4.16711340457375,"Active","yes","18:0;0_20:4;0"
"PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> LPE_20:4;0","PA_18:1;0_20:4;0","LPE_20:4;0",3.83181293751906,4.16656416617772,"Active","yes","18:1;0_20:4;0"
"PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0","PA_18:0;0_20:4;0","PC_18:0;0_20:4;0",3.24866857867857,4.14740811321118,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0","LPA_20:4;0","PC_18:0;0_20:4;0",3.23886097809433,4.14303603305037,"Active","yes","18:0;0_20:4;0"
"LPA_18:0;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0","LPA_18:0;0","PE_18:0;0_20:4;0",1.86616578353732,4.13650813907548,"Active","yes","18:0;0_20:4;0"
"LPA_18:0;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0","LPA_18:0;0","PS_18:0;0_20:4;0",1.86616578353732,4.13650813907548,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> LPC_20:4;0","LPA_20:4;0","LPC_20:4;0",2.57557500851539,4.12236378445608,"Active","yes","18:1;0_20:4;0"
"G3P --> LPA_18:0;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","G3P","LPE_20:4;0",1.43797770960297,4.10812080055272,"Active","yes","18:0;0_20:4;0"
