"feature","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"PE_16:0;0_22:5;0",0,0,0.270641269,0,0.443136267,0,0,0,0.413261908,0.364300884,0,0,0
"PE_16:1;0_16:1;0",0.034814475,0.06536957,0.019227644,0,0.013151719,0,0.060094477,0,0,0,0,0,0
"PE_16:1;0_17:1;0",0,0,0.028555385,0,0,0,1.119018793,0,0,0.024367833,0,0.08956212,0
"PE_16:1;0_18:0;0",0.273199341,0.365046855,0.236893696,0.201542048,0.129846809,0.256418005,0.250524123,0.129249543,0.096105369,0.103432639,0.137750751,0.155749186,0.174525682
"PE_16:1;0_18:1;0",0.479102082,0.666547722,0.381478176,0.255482887,0.147473222,0.429423835,0.398939839,0.079051882,0.087927634,0.107646354,0.145374445,0.231540916,0.276052497
"PE_16:1;0_20:1;0",0,0,0.034282486,0,0.009811984,0.035671158,0.035119155,0,0,0,0,0,0
"PE_16:1;0_20:3;0",0.079110807,0,0.05024207,0.055988295,0.063978726,0.067899699,0.082524438,0,0.030760068,0.023725866,0,0.029211215,0
"PE_16:1;0_20:4;0",0,0,0.026982913,0.046361013,0.041239033,0,0,0,0.03314035,0.052315427,0.051908397,0,0
"PE_16:1;0_22:4;0",0,0,0.021496513,0,0.008816719,0,0,0,0.004626089,0.005919077,0,0,0
"PE_16:1;0_22:5;0",0,0,0.082110095,0,0.091570081,0,0,0,0.25783965,0.153409807,0,0,0
"PE_17:0;0_18:1;0",0.195465307,0.203414752,0.127853586,0.099498229,0.078457908,0.130717939,0.120103101,0.077129131,0.048130969,0.090338099,0.065921636,0.110542882,0.144963875
"PE_17:0;0_20:2;0",0,0,0.013352164,0.047247692,0,0,0.060776786,0,0.003914138,0,0,0,0
"PE_17:0;0_20:3;0",0.038157382,0.074201699,0.011704756,0.03441744,0.021759045,0.04409257,0,0,0,0,0,0,0
"PE_17:0;0_20:4;0",0.066968157,0.082211026,0.030114907,0.070561355,0.055717511,0,0,0.065706389,0.03657135,0.025526098,0.063548973,0,0
"PE_17:0;0_22:4;0",0.042045601,0,0.007577477,0,0,0,0,0,0.010085806,0.013136258,0,0,0
"PE_17:1;0_17:1;0",0.01058975,0.015876198,0.014187853,0.004694028,0.0023667,0.009590496,0,0,0.005114392,0.008325602,0,0,0
"PE_17:1;0_18:0;0",0.030785948,0.061564038,0,0,0,0,0,0.027920442,0.017961332,0,0.011400553,0,0.040920474
"PE_17:1;0_18:1;0",0.750992106,0.876435356,0.108168928,0.124347921,0.02258599,0.154461252,1.317525075,0,0.073098909,0.06978508,0.071513548,0.141866761,0
"PE_18:0;0_18:1;0",1.721127851,2.072358247,0.983295584,0.892091728,0.812433423,1.340823912,1.203676921,1.228274187,0.975800554,0.814669691,0.88230773,1.185713174,2.321626254
"PE_18:0;0_18:2;0",0.243555217,0.328554257,0.18830597,0.502174322,0.259786957,0.202139233,0.190219404,0.254935181,0.206605919,0.276389728,0.262454664,0.157309905,0.456350328
"PE_18:0;0_20:2;0",0.157657008,0.199530777,0.111316068,0.032712241,0.019668607,0.214267943,0.147772345,0.016042357,0.013583289,0.012732509,0.034760625,0.0559242,0.057451163
"PE_18:0;0_20:3;0",0.334896434,0.361030905,0.136674927,0.329299771,0.280191269,0.30792103,0.306586877,0.433273452,0.109967263,0,0.335598372,0.190908295,0.352957658
"PE_18:0;0_20:4;0",1.027945361,0.995745813,0.690041839,1.332171323,1.40294263,0.571003869,0.433506425,1.500889218,1.08552581,1.424852826,1.570858989,0.361608099,0.999922579
"PE_18:0;0_20:5;0",0,0,0.013925884,0,0.033128365,0,0,0.315125629,0.041830469,0.099848543,0,0,0.293160264
"PE_18:0;0_22:4;0",0.236636951,0.276674997,0.066478878,0.099071547,0.133690975,0,0.094053448,0.195456614,0.066017553,0.069992387,0.104013672,0,0.13363726
"PE_18:0;0_22:5;0",0.28929834,0.319935259,0.135960686,0.12841582,0.152487534,0.188756862,0.144524981,0.311165235,0,0,0.14214564,0,0.27220076
"PE_18:0;0_22:6;0",0,0,0.040851355,0,0,0,0,2.728177925,2.146568885,1.388025234,0.25947618,1.776241022,2.722962352
"PE_18:1;0_18:1;0",3.004096724,3.93273208,2.369924711,1.376098584,1.140441276,2.217096236,2.015842418,0.732408257,0.740160677,0.778426663,1.049659972,1.646309125,2.257630685
"PE_18:1;0_18:2;0",0.293854979,0.427079462,0.187620922,0.560720018,0.310002031,0.296199386,0.191548035,0.125413052,0.087330766,0.098039243,0.25885741,0.155019905,0.272399894
"PE_18:1;0_19:1;0",0.12265622,0.160213693,0.029117955,0,0.027186919,0.066969347,0.025739956,0,0.011286974,0.014782479,0,0,0.071262312
"PE_18:1;0_20:1;0",0.159525534,0.188050292,0.093007653,0.061447463,0.039693046,0.121486594,0.103375158,0.013719399,0.012311188,0.015366616,0,0.046528799,0.090806602
"PE_18:1;0_20:2;0",0.268152973,0.383262936,0.126197486,0.078226468,0.052486932,0.329304585,0.264558611,0,0.010428589,0,0,0.096614662,0.059792211
"PE_18:1;0_20:3;0",0.429820902,0.40080188,0.281078323,0.484404571,0.400192282,0.39630402,0.387270436,0.252505554,0.174859428,0.134360118,0.39115464,0.282954902,0.260487334
"PE_18:1;0_20:4;0",0.685182233,0.719070816,0.12473125,0.909719232,0.30150095,0.379536123,0.460961507,0.553012304,0.07230176,0.100004522,0.905106257,0.426135783,0.430173794
"PE_18:1;0_22:4;0",0.174061583,0.203985816,0.090900707,0.065096518,0.079249063,0,0,0.068798335,0,0,0.056590163,0,0
"PE_18:1;0_22:5;0",0,0,0.278685812,0,0.226302064,0,0.235089594,0,1.170279511,0.754100206,0.376495632,0,0
"PE_18:1;0_22:6;0",0,0,0.12173666,0,0,0,0,1.147495039,1.205892971,0.477983085,0,1.052934645,0
"PE_18:1;0_24:0;0",0,0,0.026681984,0,0,0,0,0,0.05974328,0.03651706,0,0,0.078859263
"PE_18:2;0_18:2;0",0,0,0.015244728,0.067021987,0.042454271,0.024154194,0.01596635,0.05070724,0.022934693,0.023153192,0.079086051,0.024023592,0
"PE_18:2;0_20:3;0",0,0,0.005206982,0,0.008902538,0,0.030175201,0,0.002248509,0.003419277,0,0,0
"PE_20:1;0_20:4;0",0,0,0.012978142,0.023737144,0.011635758,0,0.026443108,0,0,0,0,0,0
