"name","sub_class_id","FA_sum","FA_split"
"PA(20:5(5Z,8Z,11Z,14Z,17Z)/20:2(11Z,14Z))","[GP1001]","40:7","20:2_20:5"
"PA(22:1(11Z)/20:3(8Z,11Z,14Z))","[GP1001]","42:4","20:3_22:1"
"PA(22:2(13Z,16Z)/16:0)","[GP1001]","38:2","16:0_22:2"
"PA(21:0/22:4(7Z,10Z,13Z,16Z))","[GP1001]","43:4","21:0_22:4"
"PA(22:4(7Z,10Z,13Z,16Z)/12:0)","[GP1001]","34:4","12:0_22:4"
"PA(22:4(7Z,10Z,13Z,16Z)/20:1(11Z))","[GP1001]","42:5","20:1_22:4"
"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))","[GP1001]","42:9","20:3_22:6"
"PA(O-20:0/17:2(9Z,12Z))","[GP1002]","37:2","20:0_17:2"
"PA(20:0/14:0)","[GP1001]","34:0","14:0_20:0"
"PA(14:0/18:2(9Z,12Z))","[GP1001]","32:2","14:0_18:2"
"PA(18:3(9Z,12Z,15Z)/16:0)","[GP1001]","34:3","16:0_18:3"
"PA(P-20:0/21:0)","[GP1003]","41:0","20:0_21:0"
"PI(12:0/18:4(6Z,9Z,12Z,15Z))","[GP0601]","30:4","12:0_18:4"
"PI(15:1(9Z)/18:3(9Z,12Z,15Z))","[GP0601]","33:4","15:1_18:3"
"PI(18:3(6Z,9Z,12Z)/15:0)","[GP0601]","33:3","15:0_18:3"
"PI(18:1(9Z)/19:1(9Z))","[GP0601]","37:2","18:1_19:1"
"PI(18:3(6Z,9Z,12Z)/17:0)","[GP0601]","35:3","17:0_18:3"
"PI(18:3(9Z,12Z,15Z)/14:0)","[GP0601]","32:3","14:0_18:3"
"PI(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))","[GP0601]","38:6","18:4_20:2"
"PI(19:0/20:1(11Z))","[GP0601]","39:1","19:0_20:1"
"PI(18:3(6Z,9Z,12Z)/22:2(13Z,16Z))","[GP0601]","40:5","18:3_22:2"
"PI(20:2(11Z,14Z)/15:1(9Z))","[GP0601]","35:3","15:1_20:2"
"PI(20:4(5Z,8Z,11Z,14Z)/22:1(11Z))","[GP0601]","42:5","20:4_22:1"
"PI(22:1(11Z)/16:1(9Z))","[GP0601]","38:2","16:1_22:1"
"PI(20:2(11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[GP0601]","40:7","20:2_20:5"
"PI(20:4(5Z,8Z,11Z,14Z)/18:0)","[GP0601]","38:4","18:0_20:4"
"PI(20:4(5Z,8Z,11Z,14Z)/15:0)","[GP0601]","35:4","15:0_20:4"
"PI(21:0/14:1(9Z))","[GP0601]","35:1","14:1_21:0"
"PI(21:0/20:0)","[GP0601]","41:0","20:0_21:0"
"PI(21:0/20:2(11Z,14Z))","[GP0601]","41:2","20:2_21:0"
"PI(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z))","[GP0601]","42:6","20:4_22:2"
"PI(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))","[GP0601]","42:5","20:3_22:2"
"PI(22:4(7Z,10Z,13Z,16Z)/13:0)","[GP0601]","35:4","13:0_22:4"
"PI(16:0/18:4(6Z,9Z,12Z,15Z))","[GP0601]","34:4","16:0_18:4"
"PI(16:0/17:1(9Z))","[GP0601]","33:1","16:0_17:1"
"PI(19:0/16:0)","[GP0601]","35:0","16:0_19:0"
"PI(14:0/18:1(9Z))","[GP0601]","32:1","14:0_18:1"
"PG(14:0/20:2(11Z,14Z))","[GP0401]","34:2","14:0_20:2"
"PG(14:1(9Z)/17:0)","[GP0401]","31:1","14:1_17:0"
"PG(15:1(9Z)/12:0)","[GP0401]","27:1","12:0_15:1"
"PG(16:1(9Z)/15:1(9Z))","[GP0401]","31:2","15:1_16:1"
"PG(18:1(9Z)/19:1(9Z))","[GP0401]","37:2","18:1_19:1"
"PG(18:3(6Z,9Z,12Z)/17:2(9Z,12Z))","[GP0401]","35:5","17:2_18:3"
"PG(19:0/15:1(9Z))","[GP0401]","34:1","15:1_19:0"
"PG(18:3(9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[GP0401]","38:8","18:3_20:5"
"PG(20:2(11Z,14Z)/17:0)","[GP0401]","37:2","17:0_20:2"
"PG(20:0/20:3(8Z,11Z,14Z))","[GP0401]","40:3","20:0_20:3"
"PG(20:3(8Z,11Z,14Z)/20:0)","[GP0401]","40:3","20:0_20:3"
"PG(21:0/18:2(9Z,12Z))","[GP0401]","39:2","18:2_21:0"
"PG(22:1(11Z)/18:2(9Z,12Z))","[GP0401]","40:3","18:2_22:1"
"PG(22:4(7Z,10Z,13Z,16Z)/16:0)","[GP0401]","38:4","16:0_22:4"
"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/19:0)","[GP0401]","41:6","19:0_22:6"
"PG(21:0/22:2(13Z,16Z))","[GP0401]","43:2","21:0_22:2"
"PG(22:0/16:0)","[GP0401]","38:0","16:0_22:0"
"PG(15:0/21:0)","[GP0401]","36:0","15:0_21:0"
"PS(14:0/22:4(7Z,10Z,13Z,16Z))","[GP0301]","36:4","14:0_22:4"
"PS(15:0/20:5(5Z,8Z,11Z,14Z,17Z))","[GP0301]","35:5","15:0_20:5"
"PS(15:1(9Z)/15:0)","[GP0301]","30:1","15:0_15:1"
"PS(15:1(9Z)/18:4(6Z,9Z,12Z,15Z))","[GP0301]","33:5","15:1_18:4"
"PS(17:1(9Z)/22:0)","[GP0301]","39:1","17:1_22:0"
"PS(17:2(9Z,12Z)/20:3(8Z,11Z,14Z))","[GP0301]","37:5","17:2_20:3"
"PS(18:1(9Z)/19:0)","[GP0301]","37:1","18:1_19:0"
"PS(18:2(9Z,12Z)/22:1(11Z))","[GP0301]","40:3","18:2_22:1"
"PS(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","[GP0301]","36:6","18:2_18:4"
"PS(18:2(9Z,12Z)/17:1(9Z))","[GP0301]","35:3","17:1_18:2"
"PS(19:0/22:1(11Z))","[GP0301]","41:1","19:0_22:1"
"PS(19:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0301]","41:6","19:0_22:6"
"PS(20:3(8Z,11Z,14Z)/16:1(9Z))","[GP0301]","36:4","16:1_20:3"
"PS(22:1(11Z)/15:0)","[GP0301]","37:1","15:0_22:1"
"PS(21:0/15:0)","[GP0301]","36:0","15:0_21:0"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(11Z))","[GP0301]","44:7","22:1_22:6"
"DG(12:0/20:3(8Z,11Z,14Z)/0:0)[iso2]","[GL0201]","32:3","12:0_20:3"
"DG(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]","[GL0201]","34:6","12:0_22:6"
"DG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/0:0)","[GL0201]","36:6","18:3_18:3"
"DG(15:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]","[GL0201]","35:6","15:1_20:5"
"DG(15:1(9Z)/22:1(11Z)/0:0)[iso2]","[GL0201]","37:2","15:1_22:1"
"TG(12:0/12:0/15:0)[iso3]","[GL0301]","39:0","12:0_12:0_15:0"
"DG(19:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]","[GL0201]","41:7","19:1_22:6"
"TG(14:1(9Z)/14:1(9Z)/17:1(9Z))[iso3]","[GL0301]","45:3","14:1_14:1_17:1"
"TG(14:0/21:0/21:0)[iso3]","[GL0301]","56:0","14:0_21:0_21:0"
"TG(14:0/15:0/15:0)[iso3]","[GL0301]","44:0","14:0_15:0_15:0"
"TG(15:1(9Z)/15:1(9Z)/20:3(8Z,11Z,14Z))[iso3]","[GL0301]","50:5","15:1_15:1_20:3"
"TG(15:1(9Z)/15:1(9Z)/21:0)[iso3]","[GL0301]","51:2","15:1_15:1_21:0"
"TG(15:1(9Z)/17:0/17:0)[iso3]","[GL0301]","49:1","15:1_17:0_17:0"
"TG(15:1(9Z)/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]","[GL0301]","55:5","15:1_20:2_20:2"
"TG(12:0/13:0/17:2(9Z,12Z))[iso6]","[GL0301]","42:2","12:0_13:0_17:2"
"TG(22:1(11Z)/22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso3]","[GL0301]","66:9","22:1_22:4_22:4"
"TG(12:0/13:0/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","45:3","12:0_13:0_20:3"
"TG(12:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6]","[GL0301]","44:4","12:0_14:0_18:4"
"TG(12:0/15:1(9Z)/17:2(9Z,12Z))[iso6]","[GL0301]","44:3","12:0_15:1_17:2"
"TG(12:0/15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","49:6","12:0_15:0_22:6"
"TG(12:0/14:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","48:3","12:0_14:0_22:3"
"TG(12:0/16:1(9Z)/22:1(11Z))[iso6]","[GL0301]","50:2","12:0_16:1_22:1"
"TG(12:0/18:0/21:0)[iso6]","[GL0301]","51:0","12:0_18:0_21:0"
"TG(12:0/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]","[GL0301]","50:5","12:0_18:3_20:2"
"TG(12:0/18:3(9Z,12Z,15Z)/22:2(13Z,16Z))[iso6]","[GL0301]","52:5","12:0_18:3_22:2"
"TG(12:0/17:1(9Z)/22:0)[iso6]","[GL0301]","51:1","12:0_17:1_22:0"
"TG(12:0/20:1(11Z)/22:1(11Z))[iso6]","[GL0301]","54:2","12:0_20:1_22:1"
"TG(13:0/14:1(9Z)/22:2(13Z,16Z))[iso6]","[GL0301]","49:3","13:0_14:1_22:2"
"TG(13:0/14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","49:6","13:0_14:0_22:6"
"TG(13:0/17:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","50:5","13:0_17:0_20:5"
"TG(13:0/16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","51:7","13:0_16:1_22:6"
"TG(13:0/15:1(9Z)/16:0)[iso6]","[GL0301]","44:1","13:0_15:1_16:0"
"TG(13:0/17:0/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","52:4","13:0_17:0_22:4"
"TG(13:0/17:1(9Z)/18:1(9Z))[iso6]","[GL0301]","48:2","13:0_17:1_18:1"
"TG(13:0/17:2(9Z,12Z)/18:1(9Z))[iso6]","[GL0301]","48:3","13:0_17:2_18:1"
