"feature","sample_coverage"
"PE_18:1;0_18:2;0",13
"PE_18:1;0_19:1;0",9
"PE_18:1;0_20:1;0",12
"PE_18:1;0_20:2;0",10
"PE_18:1;0_20:3;0",13
"PE_18:1;0_20:4;0",13
"PE_18:1;0_22:4;0",7
"PE_18:1;0_22:5;0",6
"PE_18:1;0_22:6;0",5
"PE_18:1;0_24:0;0",4
"PE_18:2;0_18:2;0",10
"PE_18:2;0_20:3;0",5
"PE_20:1;0_20:4;0",4
"PG_14:0;0_18:1;0",5
"PG_16:0;0_16:1;0",5
"PG_16:0;0_18:1;0",12
"PG_16:0;0_18:2;0",5
"PG_16:1;0_18:0;0",4
"PG_16:1;0_18:1;0",6
"PG_18:0;0_18:1;0",5
"PG_18:1;0_18:1;0",8
"PG_18:1;0_18:2;0",9
"PG_18:1;0_20:2;0",5
"PG_22:6;0_22:6;0",7
"PI_14:0;0_18:1;0",5
"PI_14:1;0_18:0;0",4
"PI_16:0;0_16:1;0",6
"PI_16:0;0_18:0;0",5
"PI_16:0;0_18:1;0",13
"PI_16:0;0_18:2;0",10
"PI_16:0;0_20:1;0",5
"PI_16:0;0_20:2;0",10
"PI_16:0;0_20:3;0",12
"PI_16:0;0_20:4;0",10
"PI_16:1;0_18:0;0",12
"PI_16:1;0_18:1;0",13
"PI_17:0;0_17:0;0",4
"PI_17:0;0_18:1;0",8
"PI_17:0;0_18:2;0",4
"PI_17:0;0_20:3;0",7
"PI_17:0;0_20:4;0",7
"PI_17:1;0_18:0;0",6
"PI_17:1;0_18:1;0",8
"PI_18:0;0_18:1;0",13
"PI_18:0;0_18:2;0",13
"PI_18:0;0_19:2;0",8
"PI_18:0;0_19:3;0",4
"PI_18:0;0_20:2;0",13
"PI_18:0;0_20:3;0",13
"PI_18:0;0_20:4;0",13
"PI_18:0;0_20:5;0",6
"PI_18:0;0_22:4;0",10
"PI_18:0;0_22:5;0",8
"PI_18:0;0_22:6;0",8
"PI_18:1;0_18:1;0",13
"PI_18:1;0_18:2;0",11
"PI_18:1;0_19:1;0",9
"PI_18:1;0_20:1;0",11
"PI_18:1;0_20:2;0",12
"PI_18:1;0_20:3;0",12
"PI_18:1;0_20:4;0",12
"PI_18:1;0_22:5;0",4
"PI_18:1;0_22:6;0",4
"PI_18:2;0_18:2;0",4
"PI_20:1;0_20:4;0",4
"PS_14:0;0_18:1;0",4
"PS_16:0;0_16:1;0",9
"PS_16:0;0_18:0;0",13
"PS_16:0;0_18:1;0",13
"PS_16:0;0_18:2;0",6
"PS_16:0;0_20:2;0",4
"PS_16:0;0_20:3;0",5
"PS_16:1;0_17:0;0",8
"PS_16:1;0_18:0;0",13
"PS_16:1;0_18:1;0",8
"PS_17:0;0_18:1;0",13
"PS_17:0;0_18:2;0",6
"PS_17:1;0_17:1;0",5
"PS_17:1;0_18:0;0",9
"PS_17:1;0_18:1;0",4
"PS_18:0;0_18:1;0",13
"PS_18:0;0_18:2;0",12
"PS_18:0;0_20:1;0",6
"PS_18:0;0_20:2;0",6
"PS_18:0;0_20:3;0",12
"PS_18:0;0_22:4;0",7
"PS_18:0;0_22:5;0",5
"PS_18:0;0_22:6;0",6
"PS_18:1;0_18:1;0",13
"PS_18:1;0_18:2;0",7
"PS_18:1;0_19:1;0",4
"PS_18:1;0_20:0;0",8
"PS_18:1;0_20:1;0",8
"PS_18:1;0_20:2;0",6
"PS_18:1;0_22:0;0",9
"PS_18:1;0_22:1;0",8
"PS_18:1;0_24:0;0",7
"PS_18:1;0_24:1;0",7
