feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,DHA1,DHA2,DHA3,DHA4,DHA5,DHA6
DAG_18:0;0_19:2;0,,,,,,,,,,,,,
DAG_18:0;0_19:3;0,,,,,,,,,,,,,
DAG_18:0;0_20:1;0,,,,,,,,,,,,,
DAG_18:0;0_20:2;0,,,,,,,,,,,,,
DAG_18:0;0_20:3;0,,,,,,,,,,,,,
DAG_18:0;0_20:4;0,,,,1.780449986,,,,,1.14473,,,,
DAG_18:0;0_20:5;0,,,,,,,,,,,,,
DAG_18:0;0_22:4;0,,,,,,,,,,,,,
DAG_18:0;0_22:5;0,,,,,,,,,,,,,
DAG_18:0;0_22:6;0,,,,,,,,,2.59058,4.57266,,,
DAG_18:1;0_18:1;0,,,4.57108,4.151390076,6.403930187,2.494760036,,,,,2.657969952,7.693920135,
DAG_18:1;0_18:2;0,,,,,,,,,,,,4.295670033,
DAG_18:1;0_18:3;0,,,,,,,,,,,,1.077829957,
DAG_18:1;0_19:0;0,,,,,,,,,,,,,
DAG_18:1;0_19:1;0,,,4.9586,,,,,,,,,,
DAG_18:1;0_20:0;0,,,,,,,,,,,,,
DAG_18:1;0_20:1;0,,,,,,,,,,,,,
DAG_18:1;0_20:2;0,,,,,,,,,,,,,
DAG_18:1;0_20:3;0,,,,0.552192986,,,,,0.106374,,,,
DAG_18:1;0_20:4;0,,,,,,,,,,,,,
DAG_18:1;0_20:5;0,,,,,,,,,,,,,
DAG_18:1;0_22:0;0,,,,,,,,,,,,,
DAG_18:1;0_22:3;0,,,,,,,,,,,,,
DAG_18:1;0_22:4;0,,,,,,,,,,,,,
DAG_18:1;0_22:5;0,,,,,,,,,,,,,
DAG_18:1;0_22:6;0,,,,,,,,,,,,,
DAG_18:1;0_24:1;0,,,,,,,,,,,,,
DAG_18:2;0_18:2;0,,,,,,,,,,,,1.349259973,
DAG_18:2;0_18:3;0,,,,,,,,,,,,,
DAG_18:2;0_20:1;0,,,,,,,,,,,,,
DAG_18:2;0_20:2;0,,,,,,,,,,,,,
DAG_18:2;0_20:3;0,,,,,,,,,,,,,
DAG_18:2;0_20:4;0,,,,,,,,,,,,,
DAG_18:2;0_20:5;0,,,,,,,,,,,,,
DAG_18:2;0_22:3;0,,,,,,,,,,,,,
DAG_18:2;0_22:4;0,,,,,,,,,,,,,
DAG_18:2;0_22:5;0,,,,,,,,,,,,,
DAG_18:3;0_20:1;0,,,,,,,,,,,,,
DAG_18:3;0_20:2;0,,,,,,,,,,,,,
DAG_20:3;0_20:3;0,,,,,,,,,,,,,
LPA_16:0;0,,,,,1.434910059,,,,,,,,
LPA_16:1;0,,,,,,,,,,,,,
