"feature","AL_young_1","AL_young_2","AL_young_3","AL_young_4","ALDR_young_1","ALDR_young_2","ALDR_young_3","ALDR_young_4"
"DAG O-_38:6;0",152.9493106,264.6256172,101.38299,111.5077168,115.3152809,107.3934286,68.19555271,63.28576881
"DAG O-_40:5;0",3.108467169,1.933000353,1.847628033,2.697078155,2.771946928,4.095937367,5.593307127,2.713936696
"DAG O-_40:6;0",14.24397363,21.65795597,9.537477929,11.22902793,8.862221076,13.63793021,8.358386853,7.007934436
"DAG O-_40:7;0",19.38655968,42.48155787,13.70534754,12.54814781,13.52823523,8.835271735,3.511375977,NA
"DAG_30:0;0",206.0131743,159.5187345,107.0072093,277.9472309,306.7951206,497.2316202,550.2881417,448.4332146
"DAG_30:1;0",109.543097,93.64226973,56.73243524,166.2523377,138.0839916,246.6597587,228.5389637,229.704256
"DAG_32:0;0",1539.567126,1764.440709,1019.45288,2004.491828,2107.119456,3237.649013,3941.120082,3223.070721
"DAG_32:1;0",1954.26447,1976.829928,1107.024228,2664.249482,1978.688662,2972.566047,2845.934076,2931.336294
"DAG_32:2;0",575.9215363,632.222037,369.4313544,944.5831531,996.6587679,1216.701435,1114.797295,1060.028265
"DAG_34:0;0",98.05101718,118.361018,86.92677515,181.4095367,320.0489241,649.1786744,910.8677317,562.9609489
"DAG_34:1;0",8229.384268,9719.111398,6267.46349,10639.23419,9902.61624,12141.9963,13083.80182,12416.1385
"DAG_34:2;0",9403.931464,11393.36659,6195.326825,12106.11958,13411.086,16125.44813,14741.83649,15154.60745
"DAG_34:3;0",1986.363914,2510.815315,1279.36901,2707.677126,2493.011549,2921.373272,2364.11545,2918.137585
"DAG_36:0;0",NA,2.713247418,5.720827474,10.17698243,22.22068744,42.69317569,84.26032397,43.32111465
"DAG_36:1;0",351.2405153,362.0521133,279.1513988,532.9197596,859.2821439,1295.213245,1556.956697,1180.591321
"DAG_36:2;0",3167.658901,4511.00433,2710.787745,4530.566362,4046.985782,3926.913787,3831.088444,4265.313839
"DAG_36:3;0",1114.945855,1551.260397,772.3489279,1403.917685,1687.511121,1286.456938,1266.93329,1435.742544
"DAG_36:4;0",NA,NA,NA,NA,NA,NA,NA,NA
"DAG_36:5;0",NA,0.33842477,1.214082118,NA,NA,0.301807066,NA,NA
"DAG_38:2;0",135.9949104,186.8547439,173.5662254,267.0283817,329.1414728,387.0881835,333.3941675,265.4068057
"DAG_38:3;0",160.9967395,234.2685564,166.2662939,244.2980039,342.7207922,336.1647848,281.7748337,270.4683764
"DAG_38:4;0",267.2337828,423.8965103,256.4824251,306.6892633,340.7820543,240.93061,265.2344835,259.0248831
"DAG_38:5;0",263.920068,366.235487,184.1060335,260.0982855,151.1202637,123.7649178,92.19889714,128.8840213
"DAG_38:6;0",281.1350551,340.4575344,153.8457761,186.5583856,110.2672028,80.82074226,72.84611355,100.0829173
"DAG_40:6;0",51.70124857,55.07889393,40.90201758,73.49390688,37.28774435,19.80899387,16.88731536,27.59624008
"DAG_40:7;0",70.77867918,94.36451819,49.2341752,52.60347502,45.13323989,15.53268635,27.21486855,16.02189116
"TAG O-_50:0;0",0.002200466,0.010970221,0.011532182,0.004696893,0.007955966,0.008110525,NA,0.007543328
"TAG O-_50:1;0",0.080039459,0.471430415,0.345549323,0.154404549,0.245837147,0.183782036,0.056886573,0.212031751
"TAG O-_50:2;0",0.095441535,0.597495719,0.43773931,0.173566317,0.314531539,0.237734543,0.069057698,0.253548621
"TAG O-_50:3;0",0.057085765,0.283604576,0.203244543,0.093313619,0.167507757,0.122630939,0.038956521,0.107280779
"TAG O-_52:0;0",NA,0.003200296,NA,NA,0.001380444,NA,NA,0.000766401
"TAG O-_52:1;0",0.010590281,0.057676888,0.045866421,0.02694732,0.030209553,0.029171949,0.009497191,0.035407422
