"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PS_38:4;0 --> PE_38:4;0 --> LPE_18:1;0","PS_38:4;0","LPE_18:1;0",-1.14016714309952,0.534171225336077,"Suppressed","no","38:4"
"PC_38:4;0 --> PS_38:4;0 --> PE_38:4;0 --> LPE_20:4;0","PC_38:4;0","LPE_20:4;0",-1.52142288965792,0.528375850291603,"Suppressed","no","38:4"
"PE_34:0;0 --> PC_34:0;0 --> LPC_18:0;0","PE_34:0;0","LPC_18:0;0",-1.16926779993494,0.522329764385816,"Suppressed","no","34:0"
"PC_38:5;0 --> LPC_20:3;0","PC_38:5;0","LPC_20:3;0",-0.664534442568666,0.516025106222284,"Suppressed","no","38:5"
"PC_40:8;0 --> LPC_18:2;0","PC_40:8;0","LPC_18:2;0",-0.70617789052453,0.499416630186334,"Suppressed","no","40:8"
"PC_36:0;0 --> LPC_20:0;0","PC_36:0;0","LPC_20:0;0",-0.711664689114781,0.497228354061916,"Suppressed","no","36:0"
"PE_38:5;0 --> PC_38:5;0 --> LPC_20:3;0","PE_38:5;0","LPC_20:3;0",-1.30911677212966,0.465423277616684,"Suppressed","no","38:5"
"PE_36:3;0 --> LPE_18:1;0","PE_36:3;0","LPE_18:1;0",-0.797895703252688,0.462837212065629,"Suppressed","no","36:3"
"PS_38:4;0 --> PE_38:4;0 --> PC_38:4;0 --> LPC_20:3;0","PS_38:4;0","LPC_20:3;0",-1.69943228184631,0.456005271664223,"Suppressed","no","38:4"
"PS_34:1;0 --> PE_34:1;0 --> LPE_18:1;0","PS_34:1;0","LPE_18:1;0",-1.34496191198158,0.450837392967628,"Suppressed","no","34:1"
"PS_40:5;0 --> PE_40:5;0 --> PC_40:5;0 --> LPC_18:1;0","PS_40:5;0","LPC_18:1;0",-1.72659938469397,0.444960354716054,"Suppressed","no","40:5"
"PE_38:4;0 --> LPE_18:1;0","PE_38:4;0","LPE_18:1;0",-0.859405232622933,0.438305632797481,"Suppressed","no","38:4"
"PE_40:4;0 --> PC_40:4;0","PE_40:4;0","PC_40:4;0",-0.892849639884621,0.424967144660499,"Suppressed","no","40:4"
"PE_34:0;0 --> PC_34:0;0 --> LPC_20:0;0","PE_34:0;0","LPC_20:0;0",-1.4211716993646,0.419826573300311,"Suppressed","no","34:0"
"PS_40:5;0 --> PE_40:5;0 --> PC_40:5;0 --> LPC_20:4;0","PS_40:5;0","LPC_20:4;0",-1.81209307638226,0.410202481210571,"Suppressed","no","40:5"
"PC_34:1;0 --> LPC_18:0;0","PC_34:1;0","LPC_18:0;0",-0.952836800397865,0.401042725171872,"Suppressed","no","34:1"
"PC_38:5;0 --> PS_38:5;0 --> PE_38:5;0 --> LPE_18:1;0","PC_38:5;0","LPE_18:1;0",-1.85685279418249,0.392005201636846,"Suppressed","no","38:5"
"PS_38:5;0 --> PE_38:5;0 --> PC_38:5;0 --> LPC_18:2;0","PS_38:5;0","LPC_18:2;0",-1.86549315734022,0.388492420240379,"Suppressed","no","38:5"
"PE_38:4;0 --> PC_38:4;0 --> LPC_20:3;0","PE_38:4;0","LPC_20:3;0",-1.52386966175552,0.378037347778666,"Suppressed","no","38:4"
"PS_34:0;0 --> PE_34:0;0 --> LPE_16:0;0","PS_34:0;0","LPE_16:0;0",-1.53417704896908,0.37384312893753,"Suppressed","no","34:0"
"PC_34:1;0 --> PS_34:1;0","PC_34:1;0","PS_34:1;0",-1.05293393533985,0.36112141825432,"Suppressed","no","34:1"
"PE_38:5;0 --> LPE_20:4;0","PE_38:5;0","LPE_20:4;0",-1.07200396031491,0.353515802764963,"Suppressed","no","38:5"
"PE_36:2;0 --> LPE_18:0;0","PE_36:2;0","LPE_18:0;0",-1.09749060808368,0.343351073390178,"Suppressed","no","36:2"
