"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"PE_36:2;0 --> PS_36:2;0",0.153887687877644,0.121402069429345,0.788900470880243,-4.48280180933058,0.00204817897969288,2.68863209530525,0.00619022122858852,2.20829382971359,-0.919740162382285,"Decrease","Decrease",0.294804859477731,-0.0461572856542887,""
"LPC_18:2;0 --> PC_40:7;0",24.3552542774554,15.0533035701172,0.618072116949788,-2.36070055908409,0.0459079931701894,1.33811169164178,0.0809613849183601,1.09172207143736,-0.928854128123743,"Decrease","Decrease",0.171442297954542,-0.456407886984513," (22:5)"
"PA_42:2;0 --> LPA_22:1;0",1283.31232191807,952.138644970061,0.741938364268931,-3.69326521673975,0.00610145272365995,2.2145667494556,0.0147633365009986,1.83081548125138,-0.953656118641594,"Decrease","Non-change",0.624149747822056,0.176322654243249," (20:1)"
"LPA_22:4;0 --> PA_40:6;0",1.24388343001886,1.07640606488299,0.865359276364564,-8.68030433553604,0.0000241567864908826,4.61696083917757,0.000204577785594662,3.68914152662307,-0.963231301805269,"Decrease","Non-change",-0.264915173509841,-0.474231502649154," (18:2)"
"LPA_16:0;0 --> PA_38:6;0",0.161853804250065,0.128826769626019,0.795945268156814,-4.92369495500101,0.00115860489861428,2.93606463962373,0.00389233794451821,2.40978946001009,-0.966725311442758,"Decrease","Non-change",-0.00511571877550589,-0.334566839732747," (22:6)"
"LPE_16:0;0 --> PE_36:5;0",13.3332316713865,10.3278083117095,0.774591529364427,-4.42101922325842,0.00222346787704768,2.65296914052209,0.00659737001474368,2.18062915774841,-0.977598886642274,"Decrease","Non-change",-0.0199175777326482,-0.374406766762147," (20:5)"
"LPA_22:5;0 --> PA",0.00202507241390012,0.00124333440516468,0.613970343297563,-2.52227108590461,0.0356823403263556,1.44754666894026,0.0661903391644486,1.17920539354737,-1.01872417615423,"Decrease","Non-change",-0.212661268428316,-0.91227267874583," (22:5)"
"PA_36:2;0 --> LPA_18:1;0",0.598605719392412,0.522817069896483,0.873391370912969,-10.6504820309635,0.00000529239702269829,5.27634758355116,0.0000672299809289642,4.17243701194097,-1.03046972009834,"Decrease","Non-change",0.298680991875815,0.103650908431007," (18:1)"
"LPA_20:3;0 --> PA_40:6;0",1.01051985911426,0.869568942849764,0.860516431227741,-9.13070201306136,0.0000166654066951632,4.778184083545,0.00015327999970829,3.81451450909204,-1.03555364011898,"Decrease","Non-change",-0.256726018098367,-0.474231502649154," (20:3)"
"LPA_22:5;0 --> PA_40:7;0",1.43916817813617,1.18487683231974,0.823306720034792,-6.48682418609526,0.000190736166068548,3.71956695123922,0.00106211303434061,2.97382926142958,-1.0433314370358,"Decrease","Non-change",-0.212661268428316,-0.491445101199122," (18:2)"
